bic_tissue_code	bic_tissue_name	motrpac_tissue_code	folder_name_release
T30	Blood RNA	T30 Rat PaxGene RNA	T30_blood_rna
T31	EDTA Plasma	T31 Rat Plasma	T31_plasma
T32	Packed Cells	T32 Rat Packed Cells	
T33	Hippocampus	T33 Rat Hippocampus	
T34	Cortex	T34 Rat Cortex	
T35	Hypothalamus	T35 Rat Hypothalmus	
T36	Gastrocnemius	T36 Rat Gastrocnemius	
T37	Vastus Lateralis	T37 Rat Vastus Lateralis	
T38	Tibia	T38 Rat Tibia	
T39	Heart	T39 Rat Heart	
T40	Kidney	T40 Rat Kidney	
T41	Adrenals	T41 Rat Adrenals	
T42	Colon	T42 Rat Colon	
T43	Spleen	T43 Rat Spleen	
T44	Testes	T44 Rat Testes	
T45	Ovaries	T45 Rat Ovaries	
T46	Brown Adipose	T46 Rat Brown Adipose	
T47	White Adipose	T47 Rat White Adipose	
T48	Aorta	T48 Rat Aorta	
T49	Lung	T49 Rat Lung	
T50	Small Intestine	T50 Rat Small Intestine	
T51	Liver	T51 Rat Liver	
T52	Hippocampus Powder	T52 Rat Hippocampus Powder	T52_hippocampus
T53	Cortex Powder	T53 Rat Cortex Powder	T53_cortex
T54	Hypothalamus Powder	T54 Rat Hypothalmus Powder	T54_hypothalmus
T55	Gastrocnemius Powder	T55 Rat Gastrocnemius Powder	T55_gastrocnemius
T56	Vastus Lateralis Powder	T56 Rat Vastus Lateralis Powder	T56_vastus_lateralis
T57	Tibia Powder	T57 Rat Tibia Powder	T57_tibia
T58	Heart Powder	T58 Rat Heart Powder	T58_heart
T59	Kidney Powder	T59 Rat Kidney Powder	T59_kidney
T60	Adrenal Powder	T60 Rat Adrenal Powder	T60_adrenal
T61	Colon Powder	T61 Rat Colon Powder	T61_colon
T62	Spleen Powder	T62 Rat Spleen Powder	T62_spleen
T63	Testes Powder	T63 Rat Testes Powder	T63_testes
T64	Ovaries Powder	T64 Rat Ovaries Powder	T64_ovaries
T65	Aorta Powder	T65 Rat Aorta Powder	T65_aorta
T66	Lung Powder	T66 Rat Lung Powder	T66_lung
T67	Small Intestine Powder	T67 Rat Small Intestine Powder	T67_small_intestine
T68	Liver Powder	T68 Rat Liver Powder	T68_liver
T69	Brown Adipose Powder	T69 Rat Brown Adipose Powder	T69_brown_adipose
T70	White Adipose Powder	T70 Rat White Adipose Powder	T70_white_adipose
