"CURRENT_REFMET_NAME","refmet_name","metabolite_name","is_standard","assay","super_class","main_class","sub_class","formula","exactmass","pubchem_cid","kegg_id","inchi_key","lm_id","hmdb_id","chebi_id"
"(R)-Salsolinol","(R)-Salsolinol","salsolinol",0,"metab-u-hilicpos","Organoheterocyclic compounds","Tetrahydroisoquinolines","Tetrahydroisoquinolines","C10H13NO2",179.094629,7157331,"C09642","IBRKLUSXDYATLG-ZCFIWIBFSA-N",NA,"HMDB0005199",123715
"1-Methyl nicotinamide","1-Methyl nicotinamide","1-methylnicotinamide",0,"metab-u-hilicpos","Organoheterocyclic compounds","Pyridinecarboxylic acids","Nicotinamides","C7H9N2O",137.071488,457,"C02918","LDHMAVIPBRSVRG-UHFFFAOYSA-O",NA,"HMDB0000699",16797
"1-Methyladenosine","1-Methyladenosine","1-methyladenosine",0,"metab-u-hilicpos","Nucleic acids","Purines","Purine ribonucleosides","C11H15N5O4",281.112405,27476,"C02494","GFYLSDSUCHVORB-IOSLPCCCSA-N",NA,"HMDB0003331",16020
"1-Methyladenosine","1-Methyladenosine","1-methyladenosine",0,"metab-u-rppos","Nucleic acids","Purines","Purine ribonucleosides","C11H15N5O4",281.112405,27476,"C02494","GFYLSDSUCHVORB-IOSLPCCCSA-N",NA,"HMDB0003331",16020
"1-Methylguanine","1-Methylguanine","1-methylguanine",0,"metab-u-hilicpos","Nucleic acids","Purines","Hypoxanthines","C6H7N5O",165.06506,70315,"C04152","RFLVMTUMFYRZCB-UHFFFAOYSA-N",NA,"HMDB0003282",21803
"1-Methylguanosine","1-Methylguanosine","1-methylguanosine",0,"metab-u-hilicpos","Nucleic acids","Purines","Purine ribonucleosides","C11H15N5O5",297.10732,96373,"C04545","UTAIYTHAJQNQDW-KQYNXXCUSA-N",NA,"HMDB0001563",19062
"1-Methylhistamine","1-Methylhistamine","1-methylhistamine",0,"metab-u-hilicpos","Organic nitrogen compounds","Amines","Aralkylamines","C6H11N3",125.095297,3614,"C05127","FHQDWPCFSJMNCT-UHFFFAOYSA-N",NA,"HMDB0000898",29009
"1-Methylhistidine","1-Methylhistidine","1-methylhistidine",0,"metab-u-hilicpos","Organic acids","Amino acids and peptides","Amino acids","C7H11N3O2",169.085127,92105,"C01152","BRMWTNUJHUMWMS-LURJTMIESA-N",NA,"HMDB0000001",NA
"1-Methyluric acid","1-Methyluric acid","1-methylurate",0,"metab-u-rppos","Nucleic acids","Purines","Xanthines","C6H6N4O3",182.043991,69726,"C16359","QFDRTQONISXGJA-UHFFFAOYSA-N",NA,"HMDB0003099",149558
"1-Methylxanthine","1-Methylxanthine","1-methylxanthine",0,"metab-u-rpneg","Nucleic acids","Purines","Xanthines","C6H6N4O2",166.049076,80220,"C16358","MVOYJPOZRLFTCP-UHFFFAOYSA-N",NA,"HMDB0010738",336244
"1,3-Dimethyluric acid","1,3-Dimethyluric acid","1,3-dimethylurate",0,"metab-u-rpneg","Nucleic acids","Purines","Xanthines","C7H8N4O3",196.059641,70346,NA,"OTSBKHHWSQYEHK-UHFFFAOYSA-N",NA,"HMDB0001857",149714
"11,12-DiHETrE","11,12-DiHETrE","11,12-DiHETrE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","HETrE","C20H34O4",338.24571,5283146,"C14774","LRPPQRCHCPFBPE-KROJNAHFSA-N","LMFA03050008","HMDB0002314",63969
"11,12-EpETrE","11,12-EpETrE","11,12-EpETrE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","EpETrE","C20H32O3",320.235145,5283204,"C14770","DXOYQVHGIODESM-KROJNAHFSA-N","LMFA03080004",NA,34130
"12-HETE","12-HETE","12-HETE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","HETE","C20H32O3",320.235145,13786989,NA,"ZNHVWPKMFKADKW-VXBMJZGYSA-N","LMFA03060088",NA,84447
"13-Docosenamide","13-Docosenamide","erucamide_feature1",0,"metab-u-lrppos","Fatty Acyls","Fatty amides","Fatty amides","C22H43NO",337.334464,NA,NA,NA,NA,NA,NA
"13-Docosenamide","erucamide_lp_b","erucamide_feature2",0,"metab-u-lrppos","Fatty Acyls","Fatty amides","Fatty amides","C22H43NO",337.3345,NA,NA,NA,NA,NA,NA
"13-HODE","13-HODE","13-HODE",0,"metab-t-oxylipneg","Fatty Acyls","Octadecanoids","HODEs","C18H32O3",296.235145,NA,NA,NA,NA,NA,NA
"13-HpODE","13-HpODE","13-HpODE",0,"metab-t-oxylipneg","Fatty Acyls","Octadecanoids","HpODEs","C18H32O4",312.23006,6437847,NA,"JDSRHVWSAMTSSN-BSZOFBHHSA-N",NA,NA,91272
"13-Oxo-ODE","13-Oxo-ODE","13-Oxo-ODE",0,"metab-t-oxylipneg","Fatty Acyls","Octadecanoids","OxoODEs","C18H30O3",294.219495,6446027,"C14765","JHXAZBBVQSRKJR-BSZOFBHHSA-N","LMFA02000016","HMDB0004668",68947
"13S-HOTrE gamma","13S-HOTrE(gamma)","13S-HOTrE(gamma)",0,"metab-t-oxylipneg","Fatty Acyls","Octadecanoids","HOTrEs","C18H30O3",294.219495,NA,NA,NA,NA,NA,NA
"14,15-DiHETrE","14,15-DiHETrE","14,15-DiHETrE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","HETrE","C20H34O4",338.24571,5283147,"C14775","SYAWGTIVOGUZMM-ILYOTBPNSA-N","LMFA03050010","HMDB0002265",63966
"14,15-EpETrE","14,15-EpETrE","14,15-EpETrE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","EpETrE","C20H32O3",320.235145,5283205,"C14771","JBSCUHKPLGKXKH-ILYOTBPNSA-N","LMFA03080005","HMDB0004264",34157
"2-Acetylpyrrolidine","2-Acetylpyrrolidine","2-acetylpyrrolidine",0,"metab-u-rppos","Organoheterocyclic compounds","Pyrrolidines","Pyrrolidines","C6H11NO",113.084064,550747,NA,"FYCFJMPASVKULQ-UHFFFAOYSA-N",NA,"HMDB0037293",NA
"2-Aminobenzoic acid","2-Aminobenzoic acid","anthranilate",0,"metab-u-hilicpos","Benzenoids","Benzoic acids","Aminobenzoic acids","C7H7NO2",137.047679,227,"C00108","RWZYAGGXGHYGMB-UHFFFAOYSA-N",NA,"HMDB0001123",30754
"2-Aminobenzoic acid","anthranilic acid-15N [iSTD]","anthranilic acid-15N",1,"metab-u-rpneg","Benzenoids","Benzoic acids","Aminobenzoic acids","C7H7NO2",137.0477,227,"C00108","RWZYAGGXGHYGMB-UHFFFAOYSA-N",NA,"HMDB0001123",30754
"2-Aminobutyric acid","2-Aminobutyric acid","alpha-Amino-N-butyric-acid",0,"targeted","Fatty Acyls","Fatty acids","Amino FA","C4H9NO2",103.063329,NA,NA,NA,NA,NA,NA
"2-Aminoheptanoic acid","2-Amino-heptanoic acid","2-aminoheptanoate",0,"metab-u-hilicpos","Fatty Acyls","Fatty acids","Amino FA","C7H15NO2",145.1103,227939,NA,"RDFMDVXONNIGBC-UHFFFAOYSA-N","LMFA01100015","HMDB0094649",133223
"2-Aminooctanoic acid","2-Aminooctanoic acid","2-aminooctanoate",0,"metab-u-hilicpos","Organic acids","Amino acids and peptides","Amino acids","C8H17NO2",159.125929,69522,NA,"AKVBCGQVQXPRLD-UHFFFAOYSA-N","LMFA01100056","HMDB0000991",133660
"2-Aminooctanoic acid","2-Aminooctanoic acid","FA(8:0, 2-NH2)",0,"metab-u-rppos","Organic acids","Amino acids and peptides","Amino acids","C8H17NO2",159.125929,69522,NA,"AKVBCGQVQXPRLD-UHFFFAOYSA-N","LMFA01100056","HMDB0000991",133660
"2-Deoxy-glucose","2-Deoxy-glucose","2-deoxyglucose",0,"metab-u-rppos","Carbohydrates","Monosaccharides","Monosaccharides","C6H12O5",164.068475,439268,"C00586","PMMURAAUARKVCB-CERMHHMHSA-N",NA,NA,NA
"2-Hydroxy-3-methylbutyric acid","2-Hydroxy-3-methylbutyric acid","2-hydroxy-3-methylbutyrate",0,"metab-u-rpneg","Fatty Acyls","Fatty acids","Hydroxy FA","C5H10O3",118.062995,853180,NA,"NGEWQZIDQIYUNV-BYPYZUCNSA-N","LMFA01050390",NA,60631
"2-Hydroxybutyric acid","2-Hydroxybutyric acid","2-hydroxybutyrate",0,"metab-u-rpneg","Fatty Acyls","Fatty acids","Hydroxy FA","C4H8O3",104.047345,11266,"C05984","AFENDNXGAFYKQO-UHFFFAOYSA-N","LMFA01050004","HMDB0000008",1148
"2-Hydroxyglutaric acid","2-Hydroxyglutaric acid","2-Hydroxyglutarate",0,"targeted","Fatty Acyls","Fatty acids","Hydroxy FA","C5H8O5",148.037175,439939,"C02630","HWXBTNAVRSUOJR-VKHMYHEASA-N",NA,"HMDB0000694",32797
"2-Piperidinone","2-Piperidinone","2-piperidinone",0,"metab-u-rppos","Organoheterocyclic compounds","Piperidinones","Piperidinones","C5H9NO",99.068414,12665,NA,"XUWHAWMETYGRKB-UHFFFAOYSA-N",NA,"HMDB0011749",110273
"2,6-Diaminopimelic acid","2,6-Diaminopimelic acid","diaminopimelate",0,"metab-u-hilicpos","Organic acids","Amino acids and peptides","Amino acids","C7H14N2O4",190.095358,99290,"C00666","GMKMEZVLHJARHF-SYDPRGILSA-N",NA,NA,16488
"2'-O-Methyladenosine","2'-O-Methyladenosine","2'-O-methyladenosine",0,"metab-u-hilicpos","Nucleic acids","Purines","Purine ribonucleosides","C11H15N5O4",281.112405,102213,"C04779","FPUGCISOLXNPPC-IOSLPCCCSA-N",NA,"HMDB04326",119928
"20-HETE","20-HETE","20-HETE",0,"metab-t-oxylipneg","Fatty Acyls","Eicosanoids","HETE","C20H32O3",320.235145,5283157,"C14748","NNDIXBJHNLFJJP-DTLRTWKJSA-N","LMFA03060009","HMDB0005998",34306
"21-Deoxycortisol","21-Deoxycortisol","21-deoxycortisol",0,"metab-u-hilicpos","Sterol Lipids","Steroids","C21 steroids","C21H30O4",346.21441,92827,"C05497","LCZBQMKVFQNSJR-UJPCIWJBSA-N","LMST02030195",NA,28697
"25-Hydroxycholesterol","25-Hydroxycholesterol","25-hydroxy-cholesterol",0,"metab-u-rppos","Sterol Lipids","Sterols","Oxysterols","C27H46O2",402.34978,65094,"C15519","INBGSXNNRGWLJU-ZHHJOTBYSA-N","LMST01010018",NA,42977
"25-Hydroxycholesterol","25-Hydroxycholesterol","25-hydroxy-cholesterol (-H2O)",0,"metab-u-rppos","Sterol Lipids","Sterols","Oxysterols","C27H46O2",402.34978,65094,"C15519","INBGSXNNRGWLJU-ZHHJOTBYSA-N","LMST01010018",NA,42977
"3-(1-Pyrazolyl)-alanine","3-(1-pyrazolyl)-alanine","3-(1-pyrazolyl)-alanine_feature1",0,"metab-u-lrppos","Organic acids","Amino acids and peptides","Amino acids","C6H9N3O2",155.0695,119630,NA,"PIGOPELHGLPKLL-UHFFFAOYSA-N",NA,"HMDB0034267",NA
"3-Dehydroxycarnitine","3-Dehydroxycarnitine","butyrobetaine",0,"metab-u-hilicpos","Fatty Acyls","Fatty esters","Acyl carnitines","C7H15NO2",145.110279,725,"C01181","JHPNVNIEXXLNTR-UHFFFAOYSA-N",NA,"HMDB0006831",16244
"3-Guanidinopropanoic acid","3-Guanidinopropanoic acid","beta-guanidinopropionate",0,"metab-u-hilicpos","Organic nitrogen compounds","Guanidines","Guanidines","C4H9N3O2",131.069477,67701,"C03065","KMXXSJLYVJEBHI-UHFFFAOYSA-N",NA,"HMDB0013222",15968
